NAME 1,NAME 2
Tyrion Lannister,Jaime Lannister
Tyrion Lannister,Cersei Lannister
Tyrion Lannister,Daenerys Targaryen
Tyrion Lannister,Jon Snow
Tyrion Lannister,Davos Seaworth
Tyrion Lannister,Melisandre
Tyrion Lannister,Missandei
Tyrion Lannister,Arya Stark
Tyrion Lannister,Lord Varys
Tyrion Lannister,Tormund Giantsbane
Tyrion Lannister,Bran Stark
Tyrion Lannister,Samwell Tarly
Tyrion Lannister,Ramsay Bolton
Tyrion Lannister,High Sparrow
Tyrion Lannister,Gilly
Tyrion Lannister,Three-Eyed Raven
Tyrion Lannister,Olenna Tyrell
Tyrion Lannister,Alliser Thorne
Tyrion Lannister,Qyburn
Tyrion Lannister,Grand Maester Pycelle
Tyrion Lannister,Osha
Tyrion Lannister,Eddison Tollett
Tyrion Lannister,The Waif
Tyrion Lannister,Mace Tyrell
Tyrion Lannister,Kevan Lannister
Tyrion Lannister,Gregor Clegane
Tyrion Lannister,Olly
Tyrion Lannister,Smalljon Umber
Tyrion Lannister,Rickon Stark
Tyrion Lannister,Qhono
Tyrion Lannister,Young Ned
Tyrion Lannister,Arthur Dayne
Tyrion Lannister,Gerold Hightower
Tyrion Lannister,Bowen Marsh
Tyrion Lannister,Howland Reed
Tyrion Lannister,Tommen Baratheon
Tyrion Lannister,Jaqen H'ghar
Tyrion Lannister,Grey Worm
Tyrion Lannister,Leaf
Tyrion Lannister,Harald Karstark
Tyrion Lannister,Vala
Tyrion Lannister,Khal Moro
Tyrion Lannister,Ornela
Tyrion Lannister,Othell Yarwyck
Tyrion Lannister,Frances
Tyrion Lannister,Arthur
Jaime Lannister,Cersei Lannister
Jaime Lannister,Daenerys Targaryen
Jaime Lannister,Jon Snow
Jaime Lannister,Davos Seaworth
Jaime Lannister,Melisandre
Jaime Lannister,Missandei
Jaime Lannister,Arya Stark
Jaime Lannister,Lord Varys
Jaime Lannister,Tormund Giantsbane
Jaime Lannister,Bran Stark
Jaime Lannister,Samwell Tarly
Jaime Lannister,Ramsay Bolton
Jaime Lannister,High Sparrow
Jaime Lannister,Gilly
Jaime Lannister,Three-Eyed Raven
Jaime Lannister,Olenna Tyrell
Jaime Lannister,Alliser Thorne
Jaime Lannister,Qyburn
Jaime Lannister,Grand Maester Pycelle
Jaime Lannister,Osha
Jaime Lannister,Eddison Tollett
Jaime Lannister,The Waif
Jaime Lannister,Mace Tyrell
Jaime Lannister,Kevan Lannister
Jaime Lannister,Gregor Clegane
Jaime Lannister,Olly
Jaime Lannister,Smalljon Umber
Jaime Lannister,Rickon Stark
Jaime Lannister,Qhono
Jaime Lannister,Young Ned
Jaime Lannister,Arthur Dayne
Jaime Lannister,Gerold Hightower
Jaime Lannister,Bowen Marsh
Jaime Lannister,Howland Reed
Jaime Lannister,Tommen Baratheon
Jaime Lannister,Jaqen H'ghar
Jaime Lannister,Grey Worm
Jaime Lannister,Leaf
Jaime Lannister,Harald Karstark
Jaime Lannister,Vala
Jaime Lannister,Khal Moro
Jaime Lannister,Ornela
Jaime Lannister,Othell Yarwyck
Jaime Lannister,Frances
Jaime Lannister,Arthur
Cersei Lannister,Daenerys Targaryen
Cersei Lannister,Jon Snow
Cersei Lannister,Davos Seaworth
Cersei Lannister,Melisandre
Cersei Lannister,Missandei
Cersei Lannister,Arya Stark
Cersei Lannister,Lord Varys
Cersei Lannister,Tormund Giantsbane
Cersei Lannister,Bran Stark
Cersei Lannister,Samwell Tarly
Cersei Lannister,Ramsay Bolton
Cersei Lannister,High Sparrow
Cersei Lannister,Gilly
Cersei Lannister,Three-Eyed Raven
Cersei Lannister,Olenna Tyrell
Cersei Lannister,Alliser Thorne
Cersei Lannister,Qyburn
Cersei Lannister,Grand Maester Pycelle
Cersei Lannister,Osha
Cersei Lannister,Eddison Tollett
Cersei Lannister,The Waif
Cersei Lannister,Mace Tyrell
Cersei Lannister,Kevan Lannister
Cersei Lannister,Gregor Clegane
Cersei Lannister,Olly
Cersei Lannister,Smalljon Umber
Cersei Lannister,Rickon Stark
Cersei Lannister,Qhono
Cersei Lannister,Young Ned
Cersei Lannister,Arthur Dayne
Cersei Lannister,Gerold Hightower
Cersei Lannister,Bowen Marsh
Cersei Lannister,Howland Reed
Cersei Lannister,Tommen Baratheon
Cersei Lannister,Jaqen H'ghar
Cersei Lannister,Grey Worm
Cersei Lannister,Leaf
Cersei Lannister,Harald Karstark
Cersei Lannister,Vala
Cersei Lannister,Khal Moro
Cersei Lannister,Ornela
Cersei Lannister,Othell Yarwyck
Cersei Lannister,Frances
Cersei Lannister,Arthur
Daenerys Targaryen,Jon Snow
Daenerys Targaryen,Davos Seaworth
Daenerys Targaryen,Melisandre
Daenerys Targaryen,Missandei
Daenerys Targaryen,Arya Stark
Daenerys Targaryen,Lord Varys
Daenerys Targaryen,Tormund Giantsbane
Daenerys Targaryen,Bran Stark
Daenerys Targaryen,Samwell Tarly
Daenerys Targaryen,Ramsay Bolton
Daenerys Targaryen,High Sparrow
Daenerys Targaryen,Gilly
Daenerys Targaryen,Three-Eyed Raven
Daenerys Targaryen,Olenna Tyrell
Daenerys Targaryen,Alliser Thorne
Daenerys Targaryen,Qyburn
Daenerys Targaryen,Grand Maester Pycelle
Daenerys Targaryen,Osha
Daenerys Targaryen,Eddison Tollett
Daenerys Targaryen,The Waif
Daenerys Targaryen,Mace Tyrell
Daenerys Targaryen,Kevan Lannister
Daenerys Targaryen,Gregor Clegane
Daenerys Targaryen,Olly
Daenerys Targaryen,Smalljon Umber
Daenerys Targaryen,Rickon Stark
Daenerys Targaryen,Qhono
Daenerys Targaryen,Young Ned
Daenerys Targaryen,Arthur Dayne
Daenerys Targaryen,Gerold Hightower
Daenerys Targaryen,Bowen Marsh
Daenerys Targaryen,Howland Reed
Daenerys Targaryen,Tommen Baratheon
Daenerys Targaryen,Jaqen H'ghar
Daenerys Targaryen,Grey Worm
Daenerys Targaryen,Leaf
Daenerys Targaryen,Harald Karstark
Daenerys Targaryen,Vala
Daenerys Targaryen,Khal Moro
Daenerys Targaryen,Ornela
Daenerys Targaryen,Othell Yarwyck
Daenerys Targaryen,Frances
Daenerys Targaryen,Arthur
Jon Snow,Davos Seaworth
Jon Snow,Melisandre
Jon Snow,Missandei
Jon Snow,Arya Stark
Jon Snow,Lord Varys
Jon Snow,Tormund Giantsbane
Jon Snow,Bran Stark
Jon Snow,Samwell Tarly
Jon Snow,Ramsay Bolton
Jon Snow,High Sparrow
Jon Snow,Gilly
Jon Snow,Three-Eyed Raven
Jon Snow,Olenna Tyrell
Jon Snow,Alliser Thorne
Jon Snow,Qyburn
Jon Snow,Grand Maester Pycelle
Jon Snow,Osha
Jon Snow,Eddison Tollett
Jon Snow,The Waif
Jon Snow,Mace Tyrell
Jon Snow,Kevan Lannister
Jon Snow,Gregor Clegane
Jon Snow,Olly
Jon Snow,Smalljon Umber
Jon Snow,Rickon Stark
Jon Snow,Qhono
Jon Snow,Young Ned
Jon Snow,Arthur Dayne
Jon Snow,Gerold Hightower
Jon Snow,Bowen Marsh
Jon Snow,Howland Reed
Jon Snow,Tommen Baratheon
Jon Snow,Jaqen H'ghar
Jon Snow,Grey Worm
Jon Snow,Leaf
Jon Snow,Harald Karstark
Jon Snow,Vala
Jon Snow,Khal Moro
Jon Snow,Ornela
Jon Snow,Othell Yarwyck
Jon Snow,Frances
Jon Snow,Arthur
Davos Seaworth,Melisandre
Davos Seaworth,Missandei
Davos Seaworth,Arya Stark
Davos Seaworth,Lord Varys
Davos Seaworth,Tormund Giantsbane
Davos Seaworth,Bran Stark
Davos Seaworth,Samwell Tarly
Davos Seaworth,Ramsay Bolton
Davos Seaworth,High Sparrow
Davos Seaworth,Gilly
Davos Seaworth,Three-Eyed Raven
Davos Seaworth,Olenna Tyrell
Davos Seaworth,Alliser Thorne
Davos Seaworth,Qyburn
Davos Seaworth,Grand Maester Pycelle
Davos Seaworth,Osha
Davos Seaworth,Eddison Tollett
Davos Seaworth,The Waif
Davos Seaworth,Mace Tyrell
Davos Seaworth,Kevan Lannister
Davos Seaworth,Gregor Clegane
Davos Seaworth,Olly
Davos Seaworth,Smalljon Umber
Davos Seaworth,Rickon Stark
Davos Seaworth,Qhono
Davos Seaworth,Young Ned
Davos Seaworth,Arthur Dayne
Davos Seaworth,Gerold Hightower
Davos Seaworth,Bowen Marsh
Davos Seaworth,Howland Reed
Davos Seaworth,Tommen Baratheon
Davos Seaworth,Jaqen H'ghar
Davos Seaworth,Grey Worm
Davos Seaworth,Leaf
Davos Seaworth,Harald Karstark
Davos Seaworth,Vala
Davos Seaworth,Khal Moro
Davos Seaworth,Ornela
Davos Seaworth,Othell Yarwyck
Davos Seaworth,Frances
Davos Seaworth,Arthur
Melisandre,Missandei
Melisandre,Arya Stark
Melisandre,Lord Varys
Melisandre,Tormund Giantsbane
Melisandre,Bran Stark
Melisandre,Samwell Tarly
Melisandre,Ramsay Bolton
Melisandre,High Sparrow
Melisandre,Gilly
Melisandre,Three-Eyed Raven
Melisandre,Olenna Tyrell
Melisandre,Alliser Thorne
Melisandre,Qyburn
Melisandre,Grand Maester Pycelle
Melisandre,Osha
Melisandre,Eddison Tollett
Melisandre,The Waif
Melisandre,Mace Tyrell
Melisandre,Kevan Lannister
Melisandre,Gregor Clegane
Melisandre,Olly
Melisandre,Smalljon Umber
Melisandre,Rickon Stark
Melisandre,Qhono
Melisandre,Young Ned
Melisandre,Arthur Dayne
Melisandre,Gerold Hightower
Melisandre,Bowen Marsh
Melisandre,Howland Reed
Melisandre,Tommen Baratheon
Melisandre,Jaqen H'ghar
Melisandre,Grey Worm
Melisandre,Leaf
Melisandre,Harald Karstark
Melisandre,Vala
Melisandre,Khal Moro
Melisandre,Ornela
Melisandre,Othell Yarwyck
Melisandre,Frances
Melisandre,Arthur
Missandei,Arya Stark
Missandei,Lord Varys
Missandei,Tormund Giantsbane
Missandei,Bran Stark
Missandei,Samwell Tarly
Missandei,Ramsay Bolton
Missandei,High Sparrow
Missandei,Gilly
Missandei,Three-Eyed Raven
Missandei,Olenna Tyrell
Missandei,Alliser Thorne
Missandei,Qyburn
Missandei,Grand Maester Pycelle
Missandei,Osha
Missandei,Eddison Tollett
Missandei,The Waif
Missandei,Mace Tyrell
Missandei,Kevan Lannister
Missandei,Gregor Clegane
Missandei,Olly
Missandei,Smalljon Umber
Missandei,Rickon Stark
Missandei,Qhono
Missandei,Young Ned
Missandei,Arthur Dayne
Missandei,Gerold Hightower
Missandei,Bowen Marsh
Missandei,Howland Reed
Missandei,Tommen Baratheon
Missandei,Jaqen H'ghar
Missandei,Grey Worm
Missandei,Leaf
Missandei,Harald Karstark
Missandei,Vala
Missandei,Khal Moro
Missandei,Ornela
Missandei,Othell Yarwyck
Missandei,Frances
Missandei,Arthur
Arya Stark,Lord Varys
Arya Stark,Tormund Giantsbane
Arya Stark,Bran Stark
Arya Stark,Samwell Tarly
Arya Stark,Ramsay Bolton
Arya Stark,High Sparrow
Arya Stark,Gilly
Arya Stark,Three-Eyed Raven
Arya Stark,Olenna Tyrell
Arya Stark,Alliser Thorne
Arya Stark,Qyburn
Arya Stark,Grand Maester Pycelle
Arya Stark,Osha
Arya Stark,Eddison Tollett
Arya Stark,The Waif
Arya Stark,Mace Tyrell
Arya Stark,Kevan Lannister
Arya Stark,Gregor Clegane
Arya Stark,Olly
Arya Stark,Smalljon Umber
Arya Stark,Rickon Stark
Arya Stark,Qhono
Arya Stark,Young Ned
Arya Stark,Arthur Dayne
Arya Stark,Gerold Hightower
Arya Stark,Bowen Marsh
Arya Stark,Howland Reed
Arya Stark,Tommen Baratheon
Arya Stark,Jaqen H'ghar
Arya Stark,Grey Worm
Arya Stark,Leaf
Arya Stark,Harald Karstark
Arya Stark,Vala
Arya Stark,Khal Moro
Arya Stark,Ornela
Arya Stark,Othell Yarwyck
Arya Stark,Frances
Arya Stark,Arthur
Lord Varys,Tormund Giantsbane
Lord Varys,Bran Stark
Lord Varys,Samwell Tarly
Lord Varys,Ramsay Bolton
Lord Varys,High Sparrow
Lord Varys,Gilly
Lord Varys,Three-Eyed Raven
Lord Varys,Olenna Tyrell
Lord Varys,Alliser Thorne
Lord Varys,Qyburn
Lord Varys,Grand Maester Pycelle
Lord Varys,Osha
Lord Varys,Eddison Tollett
Lord Varys,The Waif
Lord Varys,Mace Tyrell
Lord Varys,Kevan Lannister
Lord Varys,Gregor Clegane
Lord Varys,Olly
Lord Varys,Smalljon Umber
Lord Varys,Rickon Stark
Lord Varys,Qhono
Lord Varys,Young Ned
Lord Varys,Arthur Dayne
Lord Varys,Gerold Hightower
Lord Varys,Bowen Marsh
Lord Varys,Howland Reed
Lord Varys,Tommen Baratheon
Lord Varys,Jaqen H'ghar
Lord Varys,Grey Worm
Lord Varys,Leaf
Lord Varys,Harald Karstark
Lord Varys,Vala
Lord Varys,Khal Moro
Lord Varys,Ornela
Lord Varys,Othell Yarwyck
Lord Varys,Frances
Lord Varys,Arthur
Tormund Giantsbane,Bran Stark
Tormund Giantsbane,Samwell Tarly
Tormund Giantsbane,Ramsay Bolton
Tormund Giantsbane,High Sparrow
Tormund Giantsbane,Gilly
Tormund Giantsbane,Three-Eyed Raven
Tormund Giantsbane,Olenna Tyrell
Tormund Giantsbane,Alliser Thorne
Tormund Giantsbane,Qyburn
Tormund Giantsbane,Grand Maester Pycelle
Tormund Giantsbane,Osha
Tormund Giantsbane,Eddison Tollett
Tormund Giantsbane,The Waif
Tormund Giantsbane,Mace Tyrell
Tormund Giantsbane,Kevan Lannister
Tormund Giantsbane,Gregor Clegane
Tormund Giantsbane,Olly
Tormund Giantsbane,Smalljon Umber
Tormund Giantsbane,Rickon Stark
Tormund Giantsbane,Qhono
Tormund Giantsbane,Young Ned
Tormund Giantsbane,Arthur Dayne
Tormund Giantsbane,Gerold Hightower
Tormund Giantsbane,Bowen Marsh
Tormund Giantsbane,Howland Reed
Tormund Giantsbane,Tommen Baratheon
Tormund Giantsbane,Jaqen H'ghar
Tormund Giantsbane,Grey Worm
Tormund Giantsbane,Leaf
Tormund Giantsbane,Harald Karstark
Tormund Giantsbane,Vala
Tormund Giantsbane,Khal Moro
Tormund Giantsbane,Ornela
Tormund Giantsbane,Othell Yarwyck
Tormund Giantsbane,Frances
Tormund Giantsbane,Arthur
Bran Stark,Samwell Tarly
Bran Stark,Ramsay Bolton
Bran Stark,High Sparrow
Bran Stark,Gilly
Bran Stark,Three-Eyed Raven
Bran Stark,Olenna Tyrell
Bran Stark,Alliser Thorne
Bran Stark,Qyburn
Bran Stark,Grand Maester Pycelle
Bran Stark,Osha
Bran Stark,Eddison Tollett
Bran Stark,The Waif
Bran Stark,Mace Tyrell
Bran Stark,Kevan Lannister
Bran Stark,Gregor Clegane
Bran Stark,Olly
Bran Stark,Smalljon Umber
Bran Stark,Rickon Stark
Bran Stark,Qhono
Bran Stark,Young Ned
Bran Stark,Arthur Dayne
Bran Stark,Gerold Hightower
Bran Stark,Bowen Marsh
Bran Stark,Howland Reed
Bran Stark,Tommen Baratheon
Bran Stark,Jaqen H'ghar
Bran Stark,Grey Worm
Bran Stark,Leaf
Bran Stark,Harald Karstark
Bran Stark,Vala
Bran Stark,Khal Moro
Bran Stark,Ornela
Bran Stark,Othell Yarwyck
Bran Stark,Frances
Bran Stark,Arthur
Samwell Tarly,Ramsay Bolton
Samwell Tarly,High Sparrow
Samwell Tarly,Gilly
Samwell Tarly,Three-Eyed Raven
Samwell Tarly,Olenna Tyrell
Samwell Tarly,Alliser Thorne
Samwell Tarly,Qyburn
Samwell Tarly,Grand Maester Pycelle
Samwell Tarly,Osha
Samwell Tarly,Eddison Tollett
Samwell Tarly,The Waif
Samwell Tarly,Mace Tyrell
Samwell Tarly,Kevan Lannister
Samwell Tarly,Gregor Clegane
Samwell Tarly,Olly
Samwell Tarly,Smalljon Umber
Samwell Tarly,Rickon Stark
Samwell Tarly,Qhono
Samwell Tarly,Young Ned
Samwell Tarly,Arthur Dayne
Samwell Tarly,Gerold Hightower
Samwell Tarly,Bowen Marsh
Samwell Tarly,Howland Reed
Samwell Tarly,Tommen Baratheon
Samwell Tarly,Jaqen H'ghar
Samwell Tarly,Grey Worm
